names,predictions,confidences
august watanabe,African,89.231
leslie wexner,Celtic,77.397
martin trust,Celtic,46.065
ian rolland,Celtic,91.936
robert long,Celtic,61.817
pierre du,EastAsian,46.476
alfred rankin,Celtic,76.79
edward mooney,Celtic,85.838
charles coker,African,51.802
william sovey,Celtic,75.763
ronald cambre,Hispanic,95.363
william davis,Celtic,73.39
thomas fisher,Celtic,90.981
john birdsall,Celtic,86.634
wayne gittinger,African,51.954
david goode,Celtic,76.583
landon hilliard,Celtic,56.439
gerald baliles,Hispanic,97.033
james howard,Celtic,90.36
richard kovacevich,European,88.915
cynthia milligan,Celtic,67.631
larry sonsini,African,54.716
john correnti,Celtic,72.343
frederic salerno,European,92.936
ivan seidenberg,European,57.288
stanley goldstein,African,72.516
douglas yearley,Celtic,85.552
william steere,African,49.042
jeanpaul valles,Hispanic,88.925
roger enrico,Hispanic,61.0
anthony burns,Celtic,87.374
charles way,Celtic,82.839
edwin mccranie,Celtic,74.814
james shoemaker,Celtic,47.814
benjamin strauss,European,83.662
wolfgang schmitt,European,97.854
c palmer,Celtic,74.611
henry tippie,Celtic,64.993
joseph paquette,Hispanic,62.231
corbin mcneill,Celtic,76.263
richard glanton,Celtic,80.357
john mulroney,Celtic,91.294
donald beall,Celtic,82.48
william mccormick,Celtic,83.487
joseph toot,Celtic,51.686
philip quigley,Celtic,90.813
toni rembe,African,68.448
willis wood,Celtic,62.2
jeremiah sheehan,Muslim,77.574
paul duncan,Celtic,87.713
paul fireman,Celtic,87.868
james pigott,Celtic,77.942
ferdinand colloredomansfeld,Hispanic,66.914
rakesh gangwal,SouthAsian,97.742
stephen wolf,Celtic,64.207
robert buhrmaster,European,89.871
william pulte,Celtic,64.139
james ferland,Celtic,81.469
lawrence codey,Celtic,63.468
dermot dunphy,Celtic,59.565
philip satre,Nordic,82.235
jeffrey brotman,Celtic,64.095
richard dicerchio,Hispanic,29.626
james sinegal,Celtic,78.875
richard libenson,Celtic,42.299
john meisenbach,European,36.262
edgar hotard,European,85.861
william lichtenberger,European,66.999
richard madden,Celtic,87.65
joseph farrell,Celtic,77.084
j mulva,SouthAsian,79.404
thomas obrien,Nordic,45.783
james rohr,European,38.546
robert campbell,Celtic,89.601
myles slosberg,African,77.573
roger stone,Celtic,91.972
douglas leatherdale,Celtic,90.87
ronald matricaria,Hispanic,88.298
ronald lemay,Hispanic,57.282
william esrey,African,68.569
dubose ausley,Muslim,43.906
crandall bowles,Celtic,89.253
a dahlberg,Nordic,99.676
allen franklin,Celtic,57.888
ronald kuehn,European,73.362
john breen,Celtic,52.442
thomas commes,Celtic,50.659
richard kogan,African,41.06
robert krebs,Nordic,47.9
james payne,Celtic,93.655
marc shapiro,African,87.899
warren buffett,African,58.132
charles munger,African,71.56
louis simpson,Celtic,65.656
boh dickey,Nordic,50.729
judith runstad,Nordic,99.564
john bryson,Celtic,63.512
bernard cammarata,European,54.199
william timken,Celtic,49.947
ward timken,African,45.385
john timken,African,62.927
kevin dunnigan,Celtic,89.324
clyde moore,African,62.755
lewis campbell,Celtic,93.115
james hardymon,Celtic,90.53
erle nye,Nordic,97.958
allen krowe,African,59.1
william rutledge,Celtic,91.268
donald rice,Celtic,86.477
thomas perkins,Celtic,77.127
charles mueller,European,38.973
william joyce,Celtic,81.064
craig mcclelland,Celtic,75.453
james reed,Celtic,85.784
richard mccormick,Celtic,88.647
joshua green,Celtic,62.204
michael wright,Celtic,71.062
edwin gage,Celtic,48.951
phillip humann,Celtic,52.137
darryl allen,Celtic,73.645
john madigan,Hispanic,94.867
james dimon,Celtic,43.318
sanford weill,European,55.722
kenneth bialkin,Celtic,82.598
mackey mcdonald,Celtic,86.034
rust sharp,Muslim,42.494
william parfet,Celtic,50.739
james orr,Celtic,84.208
george david,Celtic,30.188
robert hernandez,Hispanic,94.12
vincent gierer,European,90.569
keith bailey,Celtic,94.13
bruce chelberg,African,95.461
william marohn,Celtic,50.348
david whitwam,Celtic,57.047
donald flynn,Celtic,70.353
john creighton,Celtic,90.737
john luke,African,69.679
paul hazen,Celtic,73.084
david glass,Celtic,47.84
jack shewmaker,Celtic,91.702
robert hurst,Celtic,79.905
dale frey,Celtic,46.965
elbert hand,European,89.566
john riley,Celtic,92.41
jon jacoby,Celtic,42.276
david banks,Celtic,81.621
yotaro kobayashi,EastAsian,99.92
william wrigley,Celtic,76.771
richard smucker,Celtic,72.825
ralph roberts,European,34.273
julian brodsky,Nordic,38.333
brian roberts,Celtic,70.876
sheldon bonovitz,African,89.896
r waltrip,Celtic,53.29
william heiligbrodt,Celtic,59.401
blair waltrip,Celtic,68.676
james ringler,Celtic,88.525
warren batts,African,52.544
william ford,Celtic,75.729
edsel ford,Nordic,72.069
terrence murray,Celtic,64.206
irving bailey,African,61.686
harold wagner,Nordic,64.169
robert allen,Celtic,87.181
richard keyser,Celtic,43.736
david grainger,Celtic,79.919
jere fluno,Nordic,99.57
louis galen,Celtic,73.22
bernard osher,African,37.168
marion sandler,European,83.225
herbert sandler,European,84.71
alfred zeien,European,93.739
john smith,Celtic,43.496
sandra moose,Celtic,50.347
james johnson,Celtic,57.926
kent foster,Nordic,93.572
charles lee,Celtic,53.963
david biegler,European,64.049
orin smith,European,82.705
albert suter,European,49.267
allan schuman,Nordic,80.028
michael shannon,Celtic,78.234
george fisher,Celtic,88.825
lee raymond,Celtic,82.098
dana mead,Celtic,28.603
arthur temple,Celtic,46.066
clifford grum,African,54.865
norman alexander,Celtic,56.54
john quicke,Celtic,67.938
fred sullivan,Celtic,59.674
john yasinsky,Celtic,39.643
carter bacot,European,44.727
alan griffith,Celtic,91.113
thomas renyi,European,90.73
charles schwab,European,77.259
frank herringer,European,80.175
john bergstrom,Nordic,99.295
claudio gonzalez,Hispanic,90.212
wayne sanders,Celtic,55.816
byron pond,African,65.241
william hunt,Celtic,87.032
donald mchenry,Celtic,86.515
herbert allen,Celtic,53.745
helga haub,European,84.959
fred corrado,Hispanic,91.619
christian haub,European,85.517
donald fites,Celtic,81.797
robert crandall,Celtic,90.296
percy barnevik,Nordic,99.475
rodney sharp,African,51.417
john krol,Nordic,72.012
jack reid,Celtic,71.867
robert tod,Celtic,82.798
david smith,Celtic,53.437
san orr,Celtic,51.729
robert stefanko,European,87.478
terry haines,Celtic,89.063
john shuey,Celtic,51.919
edwin wingate,African,73.633
kendrick melrose,Celtic,41.789
howard modlin,Celtic,85.825
sal giordano,Hispanic,37.647
louis gerstner,African,88.978
ray irani,Muslim,37.503
bruce karatz,African,97.228
daniel jorndt,European,61.757
charles walgreen,Celtic,57.209
bernard gordon,African,62.099
john tarello,Hispanic,49.946
ross brown,Celtic,63.369
george mahoney,Celtic,62.185
mark bernstein,African,44.742
lawrence murphy,Celtic,77.486
gary wolf,Celtic,75.285
roger young,Celtic,85.615
leland tollett,Celtic,70.755
don tyson,Celtic,47.943
barbara tyson,Celtic,36.649
john tyson,Celtic,58.278
robert stone,Celtic,88.486
robert kamerschen,European,87.494
howard newman,Celtic,88.598
john vogelstein,African,57.952
john baker,Celtic,79.503
edward baker,Celtic,80.77
thompson baker,Celtic,54.536
francis knott,European,37.93
alvin carpenter,Hispanic,45.859
luke fichthorn,African,51.74
robert wertheimer,European,93.925
lisa mclaughlin,Celtic,93.666
richard wollenberg,Nordic,48.931
robert arkell,Celtic,86.699
david bowden,Celtic,88.061
david wollenberg,European,37.905
george henderson,Celtic,79.862
william bell,Celtic,80.368
david swift,Celtic,83.29
kenneth manning,Celtic,72.769
stuart dickson,Celtic,86.107
samuel bodman,Nordic,57.39
kennett burnes,Nordic,45.73
mason davis,African,53.56
michael warren,Celtic,72.305
guy pinkerton,Celtic,71.053
alden harris,Celtic,38.095
stephen mosling,Celtic,85.465
peter mosling,Nordic,43.986
michael grebe,African,54.804
michael carroll,Celtic,74.33
merwin ray,Hispanic,73.809
bradford ray,Celtic,49.156
william hellmann,European,47.086
stanley rabin,African,69.545
john vosicky,SouthAsian,64.032
robert gunst,European,86.382
michael mcshane,Celtic,85.861
j stewart,Celtic,67.936
robert jaudes,European,36.587
gary rollins,Celtic,60.599
richard galanti,European,48.199
hamilton james,African,35.109
charles johnson,Celtic,45.317
rupert johnson,Celtic,49.076
harmon burns,Celtic,73.041
charles johnson,Celtic,45.317
peter sacerdote,Hispanic,73.488
martin solomon,African,46.459
robert spilman,Celtic,79.184
dale medford,Celtic,69.372
richard grant,Celtic,75.669
joe adorjan,Hispanic,95.973
scott kulicke,Celtic,30.313
william vititoe,African,49.585
jerry amos,Hispanic,54.207
william cadogan,Hispanic,98.007
john horne,Celtic,85.126
robert lannert,Nordic,43.819
charles wyly,Celtic,71.849
sam wyly,Celtic,62.074
william madar,African,26.955
william ginn,Celtic,69.572
vilma martinez,Hispanic,97.591
james morgan,Celtic,81.017
dan maydan,Muslim,49.271
alfred stein,European,83.61
paul powers,Celtic,93.813
brian knez,African,32.937
anthony petrello,European,41.027
eugene isenberg,African,73.095
jerald fishman,Celtic,31.293
ray stata,Hispanic,43.56
john doyle,Celtic,89.443
edward meyer,African,77.372
michael sullivan,Celtic,80.731
joseph alibrandi,Muslim,43.661
richard rompala,Hispanic,92.718
joseph jacobs,African,34.657
noel watson,African,69.415
linda jacobs,Celtic,59.926
robert davey,Celtic,92.335
jorge estrada,Hispanic,98.929
robert lawless,Celtic,83.528
karen weatherholtz,Celtic,54.678
james degraffenreidt,European,45.422
hastie williams,Celtic,64.851
george schaefer,European,89.296
ronald reherman,European,28.434
lawrence gloyd,Celtic,71.335
paul ganci,European,59.825
edward muller,Celtic,34.582
robert toll,Nordic,55.018
bruce toll,Celtic,47.319
zvi barzilay,European,91.455
richard braemer,European,32.756
robert blank,Celtic,52.268
robert catell,Celtic,82.777
edward miller,Celtic,80.27
kenneth chenault,Celtic,59.143
steven appleton,Celtic,76.95
philip ackerman,Celtic,72.997
joel johnson,African,58.103
gary ray,Celtic,84.755
louis rosso,African,64.531
john wareham,Celtic,59.372
betty woods,Celtic,78.477
gerald lipkin,Celtic,86.226
nicholas st,Celtic,54.646
lon greenberg,Nordic,56.532
kenneth jensen,Nordic,98.237
leslie muma,African,94.337
james riepe,European,59.158
george roche,African,41.522
james marlen,Celtic,87.417
john galiardo,Hispanic,95.884
robert otoole,African,93.603
allen hill,Celtic,74.265
robert morgan,Celtic,81.107
richard davidson,Celtic,68.342
judith hope,Celtic,89.968
thomas schiff,European,87.198
larry webb,Celtic,85.758
richard korpan,European,37.817
charles geschke,European,76.796
john warnock,Celtic,83.584
william weber,Celtic,39.791
robert storey,Celtic,89.265
irving bolotin,Hispanic,52.176
stuart miller,Celtic,82.065
steven saiontz,European,78.394
john schiff,Celtic,69.366
robert schiff,European,73.038
paul jones,Celtic,80.167
john stein,African,57.151
bruce smith,African,83.09
thomas barnes,Celtic,64.215
theodore martin,European,51.048
george carpenter,Celtic,68.586
keith kennedy,Celtic,91.087
walter zable,European,94.261
walter zable,European,94.261
randall rollins,Hispanic,33.806
henry schacht,European,42.461
steven walske,Celtic,74.389
richard harrison,Celtic,71.942
theodore solso,Hispanic,67.264
andre lacy,European,35.952
ben lytle,Celtic,86.191
dennis dammerman,Celtic,56.289
roger penske,Celtic,52.765
charles battey,African,75.079
charles vaughan,Celtic,85.272
richard ware,Celtic,86.826
marilou von,Hispanic,94.194
august hillenbrand,European,91.203
ray hillenbrand,Nordic,99.795
stuart scott,Celtic,84.185
robert mahoney,Celtic,88.502
joe ford,Celtic,87.055
joel alvord,Celtic,87.103
john kieckhefer,European,38.348
david lawrence,Celtic,80.579
stephen munn,Celtic,83.8
william albertini,European,41.265
lawrence babbio,Hispanic,62.551
james cullen,Celtic,93.994
ronald olson,Celtic,52.011
william cook,Celtic,84.034
douglas ivester,African,67.717
william jordan,Celtic,48.15
vincent calarco,Hispanic,81.284
gary neale,Celtic,88.479
chad dreier,European,85.06
roger kober,European,55.0
david daberko,European,67.605
william robertson,Celtic,75.558
david hoag,Celtic,66.998
clifford greenwalt,Celtic,57.826
walter dods,European,68.915
zuheir sofia,Muslim,72.189
tranum fitzpatrick,African,54.706
david omaley,Celtic,63.569
charles mechem,African,80.571
jerry grundhofer,European,71.313
philip lloyd,Celtic,89.918
stephen myers,Celtic,89.44
john lamacchia,SouthAsian,57.848
john jacob,SouthAsian,76.96
robert west,Celtic,80.086
daniel amos,Celtic,51.51
elizabeth ogie,African,92.124
lynn page,Celtic,89.372
richard anthony,Celtic,54.411
joe beverly,Celtic,83.643
james blanchard,Celtic,52.11
william turner,Celtic,86.377
james yancey,Celtic,80.548
brian matsuyama,African,68.871
carl burnham,Celtic,92.59
alex bernhardt,European,83.169
edward crutchfield,Celtic,90.304
david komansky,European,72.919
gordon harnett,Celtic,88.757
joseph ross,Celtic,50.339
mason lampton,Celtic,60.901
barry fitzpatrick,Celtic,48.293
micky arison,Hispanic,44.81
howard frank,Celtic,79.917
sherwood weiser,European,40.918
uzi zucker,Muslim,84.16
kerry killinger,Celtic,72.663
william osborn,Celtic,60.921
robert helman,European,76.939
winslow buxton,Celtic,65.834
ludvik koci,European,58.426
stanley pontius,African,69.979
robert dickinson,Celtic,90.243
kirk lanterman,Celtic,47.142
robert wilmers,Celtic,48.021
warren rudman,Celtic,49.804
herbert boyer,European,84.031
richard dahl,Nordic,99.26
frederick meyer,African,91.405
patrick ryan,African,59.87
thomas usher,European,37.581
william zuendt,European,87.615
carl reichardt,Nordic,48.354
robert paul,European,32.498
william bares,Celtic,74.374
david spina,European,62.54
marshall carter,Celtic,80.921
robert weissman,European,83.386
truman casner,SouthAsian,54.577
dennis kuester,European,45.667
peter platten,Nordic,95.551
wallace malone,African,90.103
summerfield johnston,Celtic,36.933
stacey mobley,Celtic,81.015
george benter,African,82.051
richard bloch,Celtic,35.237
charles crompton,Celtic,82.667
bram goldsmith,Celtic,51.604
joel cohen,Hispanic,48.101
alexander lynch,Celtic,83.45
peter browning,Celtic,45.588
lh coker,Celtic,45.678
james rogers,Celtic,90.794
robert cline,Celtic,83.915
richard carrion,Hispanic,70.097
robert clarke,Celtic,85.756
bill mills,Celtic,51.226
maurice myers,Celtic,71.78
jeffrey watanabe,African,80.693
timothy brown,Celtic,78.797
raymond gilmartin,Hispanic,78.18
samuel thier,European,86.179
rozanne ridgway,African,46.893
john brown,Celtic,75.406
george glatfelter,African,56.058
m johnson,African,56.604
john hennessy,Celtic,86.263
thomas gottwald,European,65.874
charles walker,Celtic,82.697
edward fogarty,Celtic,79.041
howard wentz,Celtic,43.065
george wardeberg,Nordic,35.383
dale laurance,African,85.056
john riordan,Celtic,87.838
raymond zimmerman,Celtic,33.842
robert evans,Celtic,89.964
william cooper,Celtic,84.157
thomas cusick,Celtic,80.028
ralph strangis,European,88.088
thomas may,Celtic,57.616
robert blattberg,Nordic,97.918
ralph horn,European,87.493
thomas mcconomy,Celtic,85.334
donald engelman,African,49.869
herbert boydstun,European,63.022
e campbell,Celtic,70.239
gerard keegan,Celtic,87.063
spencer eccles,Celtic,84.722
t rodgers,Celtic,58.375
fred bialek,European,82.413
dennis bottorff,European,37.064
dowd ritter,Celtic,47.418
david kemper,European,45.695
thomas grant,Celtic,35.35
james hebenstreit,Celtic,67.366
robert viets,European,91.499
jackson moore,Celtic,84.637
helge wehmeier,European,87.681
david freeman,Celtic,88.801
harry stonecipher,Celtic,91.834
william fenoglio,European,66.836
lester kaplan,Hispanic,50.854
william grant,Celtic,76.167
john rowe,Celtic,74.297
mogens bay,Nordic,99.385
walter scott,European,37.989
alexander kemper,European,60.989
david bradley,Celtic,86.78
michael tembreull,Celtic,32.036
mark pigott,Celtic,68.732
derek hathaway,Celtic,90.838
glen hiner,Celtic,86.286
william colville,Celtic,76.486
peter redding,Nordic,67.512
paul granzow,Celtic,35.173
brent scowcroft,Celtic,77.274
roger hale,Celtic,58.554
william ballard,Celtic,86.118
chris sullivan,Celtic,85.841
robert basham,Celtic,83.575
robert merritt,Celtic,77.654
fred hubbell,Celtic,87.823
michael jordan,Celtic,30.541
jon chait,African,57.814
john grundhofer,Nordic,55.503
dennis stevenson,Celtic,75.986
richard horsley,Celtic,87.309
geoffrey bloom,Celtic,77.97
timothy odonovan,African,47.599
alberto grimoldi,European,95.598
raphael benaroya,European,78.22
robert kelley,Celtic,89.775
william ruger,African,74.206
roy parrott,Celtic,86.856
paul newhagen,Celtic,65.243
richard berndt,Nordic,80.62
nader darehshori,Muslim,86.643
c hudson,Celtic,80.627
r richey,European,36.047
richard tilghman,Celtic,34.797
paul van,European,83.182
fred hassan,African,38.808
clifford alexander,African,80.507
william currie,Celtic,78.823
peter secchia,European,53.722
john fiedler,Nordic,38.775
howard clark,Celtic,87.412
john hannan,Celtic,67.564
michael gross,Celtic,46.775
leon black,African,72.027
richard loynd,Celtic,75.116
robert cornog,Hispanic,43.886
robert allison,Celtic,81.332
benjamin montoya,Hispanic,52.298
john burns,Celtic,88.588
dan carmichael,Celtic,42.587
gale fitzgerald,Celtic,67.777
robert kierlin,European,47.617
stephen slaggie,Celtic,85.066
william van,EastAsian,36.952
thomas chapman,SouthAsian,39.463
john ryan,Celtic,71.602
calvin campbell,Celtic,66.347
peter behrendt,European,80.287
gregg ostrander,Nordic,97.803
kevin dowd,Celtic,91.556
alan dickson,Celtic,78.996
hugh chapman,African,50.775
william timmerman,Celtic,57.018
lee ault,Celtic,87.467
lennox black,Celtic,80.692
donald beckman,African,49.439
loren carroll,Celtic,86.548
douglas rock,Celtic,69.48
norwood davis,African,54.432
joseph odonnell,Celtic,50.495
bert sager,Nordic,90.12
edward croft,Celtic,88.809
stephen ollendorff,Nordic,50.987
robert paul,European,32.498
philip colburn,Celtic,91.528
jerry neely,Celtic,83.223
john seramur,SouthAsian,58.548
sidney kimmel,European,55.424
donald griffin,Celtic,67.872
walter blankley,Celtic,71.121
lewis cole,Celtic,87.554
david steinmann,European,58.27
paul stroup,Celtic,60.856
james hance,Celtic,84.788
john mcdonnell,Celtic,89.765
elizabeth varet,Celtic,34.101
donald russell,Celtic,72.825
harris simmons,Celtic,61.683
r cash,Celtic,72.182
laurence simmons,Celtic,60.849
william hall,Celtic,81.259
edward culliton,Celtic,85.316
michael simpson,Celtic,60.193
albert bersticker,European,82.795
hector ortino,Hispanic,98.675
charles johnson,Celtic,45.317
willard holland,Nordic,40.923
ronald zech,European,41.647
peter lewis,Celtic,87.776
albert budney,Celtic,79.035
patrick stokes,Celtic,87.923
howard buffett,Celtic,90.475
david harvey,Celtic,73.96
roger hemminghaus,European,68.214
gilmer minor,Hispanic,78.833
paul loyd,Celtic,90.785
drayton nabers,African,92.315
george perlegos,European,68.741
gust perlegos,European,79.481
tsungching wu,EastAsian,99.804
norm hall,Nordic,44.065
edward budd,Celtic,82.756
william greehey,Celtic,79.444
jerome sandweiss,European,91.252
david omachinski,European,43.326
william patient,Celtic,70.325
bertrand collomb,European,54.829
michael reilly,Celtic,79.449
stephen purdom,Celtic,74.196
shelby amos,Hispanic,95.895
richard green,Celtic,70.93
franklin hundley,Celtic,57.632
william antle,Celtic,81.714
john baker,Celtic,79.503
christopher mills,Celtic,77.386
josh weston,Celtic,84.405
andrew heine,Celtic,76.454
steven farris,Celtic,72.456
raymond plank,Celtic,48.888
john kocur,Celtic,21.545
douglas mcgregor,Celtic,77.7
martin walker,Celtic,77.715
trevor eyton,Celtic,53.487
nicholas paumgarten,European,58.397
john burlingame,Hispanic,58.108
paul scripps,Celtic,83.84
william burleigh,Celtic,80.533
michael merriman,Celtic,57.681
james moffett,Celtic,93.277
b rankin,Celtic,71.504
thomas corson,Celtic,69.864
claire skinner,Celtic,94.13
arthur brown,Celtic,52.483
philip lux,EastAsian,47.408
robert shaw,Celtic,84.866
hicks lanier,European,91.569
hayne hipp,Celtic,83.741
frederic bertrand,European,84.522
burl osborne,Celtic,54.28
robert decherd,Celtic,63.065
william solomon,African,64.609
michael ziering,European,66.97
sidney aroesty,Celtic,49.758
eric ruttenberg,European,60.285
craig sullivan,Celtic,74.068
lee hogan,Celtic,82.844
dealey herndon,Celtic,82.071
richard vie,Celtic,46.146
lawrence del,African,47.534
robert macdonnell,Celtic,89.407
steven burd,Celtic,83.853
james greene,Celtic,82.454
rodney dammeyer,African,73.611
melvin gordon,African,83.594
sheli rosenberg,Nordic,50.383
ellen gordon,Celtic,47.474
samuel zell,Celtic,48.978
burton joyce,Celtic,70.54
david koch,European,62.797
lee mitau,African,70.968
ernest drew,Celtic,70.748
