dirid,first,last,fullname,female,ethnicity,ethnicity_recode,names,predictions,confidences,predictions_recode,predictions_recode_strict
137.0,leon,level,LEON J LEVEL,0.0,U,Unknown,LEON J LEVEL,European,35.254,White,Unknown
138.0,eugene,mcgrath,EUGENE R MCGRATH,0.0,U,Unknown,EUGENE R MCGRATH,Celtic,63.306,White,Unknown
140.0,george,davidson,GEORGE A DAVIDSON JR,0.0,C,White,GEORGE A DAVIDSON JR,Hispanic,67.635,Hispanic,Unknown
144.0,roger,ackerman,ROGER G ACKERMAN,,U,Unknown,ROGER G ACKERMAN,Celtic,83.395,White,White
145.0,charles,shoemate,CHARLES R SHOEMATE,0.0,C,White,CHARLES R SHOEMATE,African,96.103,Black,Black
146.0,rs,evans,RS EVANS,0.0,C,White,RS EVANS,Nordic,71.567,White,Unknown
147.0,charles,queenan,CHARLES J. QUEENAN JR.,,UNKNOWN,Unknown,CHARLES J. QUEENAN JR.,SouthAsian,67.205,Indian,Unknown
148.0,william,avery,WILLIAM J AVERY,,CAUCASIAN,White,WILLIAM J AVERY,Celtic,91.533,White,White
150.0,john,snow,JOHN W. SNOW,,CAUCASIAN,White,JOHN W. SNOW,Celtic,78.006,White,White
151.0,robert,burrus,ROBERT L BURRUS JR,0.0,U,Unknown,ROBERT L BURRUS JR,Hispanic,44.627,Hispanic,Unknown
152.0,hugh,mccoll,HUGH L MCCOLL JR,0.0,C,White,HUGH L MCCOLL JR,Celtic,60.923,White,Unknown
153.0,james,henderson,JAMES A HENDERSON,0.0,U,Unknown,JAMES A HENDERSON,Celtic,90.621,White,White
154.0,robert,darnall,ROBERT J DARNALL,0.0,C,White,ROBERT J DARNALL,Celtic,90.784,White,White
155.0,harold,brown,HAROLD BROWN,0.0,C,White,HAROLD BROWN,Celtic,55.635,White,Unknown
156.0,william,miller,WILLIAM I MILLER,0.0,Caucasian,White,WILLIAM I MILLER,Celtic,86.587,White,White
157.0,lawrence,wilson,J LAWRENCE WILSON,,U,Unknown,J LAWRENCE WILSON,Celtic,56.764,White,Unknown
159.0,douglas,mccorkindale,DOUGLAS H MCCORKINDALE,0.0,U,Unknown,DOUGLAS H MCCORKINDALE,Celtic,86.191,White,White
160.0,donald,fisher,DONALD G FISHER,0.0,C,White,DONALD G FISHER,Celtic,83.49,White,White
161.0,doris,fisher,DORIS F FISHER,,U,Unknown,DORIS F FISHER,Celtic,79.089,White,White
162.0,robert,fisher,ROBERT J FISHER,0.0,C,White,ROBERT J FISHER,Celtic,88.854,White,White
163.0,millard,drexler,MILLARD S. DREXLER,,CAUCASIAN,White,MILLARD S. DREXLER,European,32.913,White,Unknown
164.0,nicholas,chabraja,NICHOLAS D CHABRAJA,0.0,C,White,NICHOLAS D CHABRAJA,Celtic,40.622,White,Unknown
165.0,james,crown,JAMES S CROWN,0.0,Caucasian,White,JAMES S CROWN,Celtic,89.852,White,White
166.0,lester,crown,LESTER CROWN,0.0,C,White,LESTER CROWN,Celtic,79.297,White,White
167.0,charles,goodman,CHARLES H GOODMAN,0.0,Caucasian,White,CHARLES H GOODMAN,African,61.179,Black,Unknown
171.0,ronald,ferguson,RONALD E FERGUSON,0.0,C,White,RONALD E FERGUSON,African,75.608,Black,Black
172.0,william,wire,WILLIAM S WIRE II,0.0,C,White,WILLIAM S WIRE II,EastAsian,58.431,Asian,Unknown
173.0,larry,prince,LARRY L PRINCE,0.0,Caucasian,White,LARRY L PRINCE,Celtic,87.096,White,White
174.0,thomas,gallagher,THOMAS C GALLAGHER,0.0,C,White,THOMAS C GALLAGHER,Celtic,91.334,White,White
175.0,alston,correll,ALSTON D CORRELL JR,0.0,C,White,ALSTON D CORRELL JR,Hispanic,91.344,Hispanic,Hispanic
176.0,james,williams,JAMES B WILLIAMS,0.0,C,White,JAMES B WILLIAMS,Celtic,81.405,White,White
178.0,louis,sullivan,LOUIS W SULLIVAN,0.0,B,Black,LOUIS W SULLIVAN,Celtic,74.724,White,White
180.0,marie,whittemore,ANNE MARIE WHITTEMORE,1.0,C,White,ANNE MARIE WHITTEMORE,Nordic,47.521,White,Unknown
181.0,bruce,gottwald,BRUCE C. GOTTWALD,,CAUCASIAN,White,BRUCE C. GOTTWALD,African,95.474,Black,Black
182.0,david,stonecipher,DAVID A STONECIPHER,0.0,Caucasian,White,DAVID A STONECIPHER,Celtic,93.119,White,White
183.0,ralph,larsen,RALPH S LARSEN,0.0,C,White,RALPH S LARSEN,Nordic,96.49,White,White
184.0,robert,wilson,ROBERT N WILSON,0.0,C,White,ROBERT N WILSON,Celtic,63.619,White,Unknown
185.0,james,keyes,JAMES H KEYES,0.0,U,Unknown,JAMES H KEYES,Celtic,86.466,White,White
186.0,arnold,langbo,ARNOLD G LANGBO,0.0,U,Unknown,ARNOLD G LANGBO,African,66.79,Black,Unknown
187.0,anthony,ridder,P ANTHONY RIDDER,0.0,C,White,P ANTHONY RIDDER,Celtic,80.701,White,White
189.0,joseph,pichler,JOSEPH A. PICHLER,,CAUCASIAN,White,JOSEPH A. PICHLER,Celtic,49.631,White,Unknown
190.0,reuben,anderson,REUBEN V ANDERSON,0.0,B,Black,REUBEN V ANDERSON,African,89.157,Black,Black
192.0,willard,marriott,J WILLARD MARRIOTT JR,0.0,C,White,J WILLARD MARRIOTT JR,Celtic,53.404,White,Unknown
193.0,richard,marriott,RICHARD E. MARRIOTT,,CAUCASIAN,White,RICHARD E. MARRIOTT,Celtic,81.744,White,White
194.0,mitt,romney,W. MITT ROMNEY,,CAUCASIAN,White,W. MITT ROMNEY,Celtic,49.842,White,Unknown
195.0,marcus,bennett,MARCUS C BENNETT,0.0,C,White,MARCUS C BENNETT,Celtic,85.482,White,White
196.0,norman,augustine,NORMAN R AUGUSTINE,0.0,Caucasian,White,NORMAN R AUGUSTINE,African,40.371,Black,Unknown
198.0,richard,manoogian,RICHARD A. MANOOGIAN,,CAUCASIAN,White,RICHARD A. MANOOGIAN,Muslim,50.065,MiddleEastern,Unknown
201.0,ronald,loeb,RONALD M LOEB,0.0,U,Unknown,RONALD M LOEB,African,73.043,Black,Black
202.0,david,farrell,DAVID C FARRELL,,U,Unknown,DAVID C FARRELL,Celtic,87.196,White,White
203.0,leonard,hadley,LEONARD A HADLEY,0.0,C,White,LEONARD A HADLEY,Celtic,82.35,White,White
206.0,james,berick,JAMES H BERICK,,U,Unknown,JAMES H BERICK,Celtic,84.474,White,White
207.0,benjamin,civiletti,BENJAMIN R CIVILETTI,0.0,C,White,BENJAMIN R CIVILETTI,Celtic,61.096,White,Unknown
208.0,randolph,lerner,RANDOLPH D LERNER,0.0,U,Unknown,RANDOLPH D LERNER,European,84.822,White,White
209.0,robert,beavers,ROBERT M BEAVERS JR,0.0,Unknown,Unknown,ROBERT M BEAVERS JR,Celtic,82.982,White,White
210.0,james,cantalupo,JAMES R CANTALUPO,0.0,C,White,JAMES R CANTALUPO,Hispanic,94.563,Hispanic,Hispanic
211.0,jack,greenberg,JACK M. GREENBERG,,CAUCASIAN,White,JACK M. GREENBERG,Celtic,77.672,White,White
212.0,michael,quinlan,MICHAEL R QUINLAN,0.0,U,Unknown,MICHAEL R QUINLAN,Celtic,75.211,White,White
213.0,edward,rensi,EDWARD H. RENSI,,CAUCASIAN,White,EDWARD H. RENSI,African,54.811,Black,Unknown
214.0,donald,lubin,DONALD G LUBIN,0.0,U,Unknown,DONALD G LUBIN,African,48.392,Black,Unknown
215.0,andrew,mckenna,ANDREW J MCKENNA,0.0,U,Unknown,ANDREW J MCKENNA,Celtic,82.442,White,White
216.0,joseph,dionne,JOSEPH L DIONNE,0.0,C,White,JOSEPH L DIONNE,Celtic,26.95,White,Unknown
217.0,harold,mcgraw,HAROLD W. MCGRAW III,,CAUCASIAN,White,HAROLD W. MCGRAW III,Celtic,69.732,White,Unknown
219.0,steven,mason,STEVEN C MASON,0.0,C,White,STEVEN C MASON,Celtic,72.606,White,White
220.0,frank,cahouet,FRANK V CAHOUET,0.0,C,White,FRANK V CAHOUET,European,91.946,White,White
221.0,keith,smith,W. KEITH SMITH,,CAUCASIAN,White,W. KEITH SMITH,Celtic,63.613,White,Unknown
222.0,stephen,hammerman,STEPHEN L HAMMERMAN,0.0,Caucasian,White,STEPHEN L HAMMERMAN,Celtic,73.066,White,White
223.0,aulana,peters,AULANA L PETERS,1.0,African-American,Black,AULANA L PETERS,Hispanic,42.104,Hispanic,Unknown
224.0,livio,desimone,LIVIO D DESIMONE,0.0,C,White,LIVIO D DESIMONE,European,90.069,White,White
225.0,ronald,mitsch,RONALD A MITSCH,0.0,C,White,RONALD A MITSCH,Hispanic,87.017,Hispanic,Hispanic
226.0,lucio,noto,LUCIO A. NOTO,,HISPANIC/LATIN AMERICAN,Hispanic,LUCIO A. NOTO,Hispanic,84.515,Hispanic,Hispanic
227.0,eugene,renna,EUGENE A. RENNA,,CAUCASIAN,White,EUGENE A. RENNA,European,30.908,White,Unknown
228.0,nicholas,reding,NICHOLAS L REDING,0.0,C,White,NICHOLAS L REDING,Celtic,83.368,White,White
229.0,robert,shapiro,ROBERT B SHAPIRO,,UNKNOWN,Unknown,ROBERT B SHAPIRO,African,93.409,Black,Black
231.0,philip,purcell,PHILIP J PURCELL,,U,Unknown,PHILIP J PURCELL,Celtic,93.251,White,White
232.0,carol,bernick,CAROL L BERNICK,1.0,C,White,CAROL L BERNICK,Celtic,81.55,White,White
233.0,ronald,skates,RONALD L. SKATES,,CAUCASIAN,White,RONALD L. SKATES,Celtic,61.71,White,Unknown
234.0,duane,burnham,DUANE L BURNHAM,0.0,C,White,DUANE L BURNHAM,African,52.519,Black,Unknown
235.0,southwood,morcott,SOUTHWOOD J MORCOTT,0.0,C,White,SOUTHWOOD J MORCOTT,Celtic,73.677,White,White
236.0,robert,ulrich,ROBERT J ULRICH,0.0,C,White,ROBERT J ULRICH,European,56.974,White,Unknown
237.0,leonard,lavin,LEONARD H LAVIN,0.0,C,White,LEONARD H LAVIN,African,50.539,Black,Unknown
238.0,howard,bernick,HOWARD B BERNICK,0.0,U,Unknown,HOWARD B BERNICK,Celtic,86.988,White,White
239.0,bernice,lavin,BERNICE E LAVIN,1.0,C,White,BERNICE E LAVIN,African,49.581,Black,Unknown
240.0,lawrence,bossidy,LAWRENCE A BOSSIDY,0.0,C,White,LAWRENCE A BOSSIDY,Celtic,55.935,White,Unknown
241.0,hans,becherer,HANS W BECHERER,0.0,C,White,HANS W BECHERER,European,81.444,White,White
242.0,john,lobbia,JOHN E. LOBBIA,,CAUCASIAN,White,JOHN E. LOBBIA,Hispanic,84.304,Hispanic,Hispanic
243.0,larry,garberding,LARRY G GARBERDING,,U,Unknown,LARRY G GARBERDING,Celtic,85.982,White,White
244.0,alan,schwartz,ALAN E SCHWARTZ,,CAUCASIAN,White,ALAN E SCHWARTZ,African,93.731,Black,Black
245.0,drue,corbusier,DRUE CORBUSIER,1.0,C,White,DRUE CORBUSIER,European,89.004,White,White
246.0,mike,dillard,MIKE DILLARD,0.0,Caucasian,White,MIKE DILLARD,Celtic,69.948,White,Unknown
247.0,william,dillard,"WILLIAM DILLARD, II",,HISPANIC,Hispanic,"WILLIAM DILLARD, II",EastAsian,36.799,Asian,Unknown
248.0,james,freeman,JAMES I FREEMAN,,U,Unknown,JAMES I FREEMAN,Celtic,90.967,White,White
249.0,will,davis,WILL D DAVIS,0.0,Unknown,Unknown,WILL D DAVIS,Celtic,77.651,White,White
250.0,william,sutton,WILLIAM H SUTTON,0.0,C,White,WILLIAM H SUTTON,Celtic,85.069,White,White
251.0,john,johnson,JOHN H. JOHNSON,,CAUCASIAN,White,JOHN H. JOHNSON,African,49.842,Black,Unknown
252.0,michael,eisner,MICHAEL D EISNER,0.0,C,White,MICHAEL D EISNER,Celtic,48.672,White,Unknown
253.0,richard,nunis,RICHARD A NUNIS,0.0,C,White,RICHARD A NUNIS,Hispanic,81.624,Hispanic,Hispanic
258.0,gary,wilson,GARY L. WILSON,,CAUCASIAN,White,GARY L. WILSON,Celtic,69.012,White,Unknown
259.0,thomas,capps,THOMAS E CAPPS,0.0,C,White,THOMAS E CAPPS,Celtic,88.451,White,White
260.0,gary,roubos,GARY L ROUBOS,0.0,U,Unknown,GARY L ROUBOS,African,55.605,Black,Unknown
262.0,thomas,reece,THOMAS L REECE,,CAUCASIAN,White,THOMAS L REECE,Celtic,79.946,White,White
263.0,james,koley,JAMES L KOLEY,0.0,Unknown,Unknown,JAMES L KOLEY,Celtic,86.634,White,White
264.0,frank,popoff,FRANK P POPOFF,0.0,C,White,FRANK P POPOFF,Celtic,73.053,White,White
265.0,enrique,falla,ENRIQUE C FALLA,0.0,U,Unknown,ENRIQUE C FALLA,Hispanic,95.785,Hispanic,Hispanic
266.0,william,stavropoulos,WILLIAM S STAVROPOULOS,0.0,C,White,WILLIAM S STAVROPOULOS,Celtic,53.96,White,Unknown
267.0,james,ottaway,JAMES H OTTAWAY JR,0.0,C,White,JAMES H OTTAWAY JR,Hispanic,97.735,Hispanic,Hispanic
268.0,peter,kann,PETER R KANN,0.0,C,White,PETER R KANN,Celtic,42.543,White,Unknown
269.0,william,bradford,WILLIAM E BRADFORD,0.0,U,Unknown,WILLIAM E BRADFORD,Celtic,84.078,White,White
270.0,richard,priory,RICHARD B PRIORY,0.0,C,White,RICHARD B PRIORY,Celtic,88.773,White,White
271.0,william,grigg,WILLIAM H GRIGG,0.0,Unknown,Unknown,WILLIAM H GRIGG,Celtic,52.06,White,Unknown
272.0,atwood,ives,J ATWOOD IVES,0.0,C,White,J ATWOOD IVES,Celtic,73.632,White,White
273.0,alexander,cutler,ALEXANDER M CUTLER,0.0,C,White,ALEXANDER M CUTLER,Celtic,81.541,White,White
274.0,stephen,hardis,STEPHEN R. HARDIS,,CAUCASIAN,White,STEPHEN R. HARDIS,Celtic,91.009,White,White
277.0,frank,blount,W FRANK BLOUNT,0.0,U,Unknown,W FRANK BLOUNT,Celtic,38.953,White,Unknown
278.0,john,cooper,JOHN A COOPER JR,0.0,C,White,JOHN A COOPER JR,Hispanic,85.209,Hispanic,Hispanic
280.0,robert,luft,ROBERT VD LUFT,0.0,C,White,ROBERT VD LUFT,Nordic,93.72,White,White
281.0,bismark,steinhagen,BISMARK A STEINHAGEN,0.0,C,White,BISMARK A STEINHAGEN,Nordic,95.43,White,White
282.0,james,nichols,JAMES R NICHOLS,,U,Unknown,JAMES R NICHOLS,Celtic,92.786,White,White
283.0,james,johnson,JAMES A JOHNSON,0.0,Caucasian,White,JAMES A JOHNSON,Celtic,74.807,White,White
284.0,lawrence,small,LAWRENCE M SMALL,0.0,C,White,LAWRENCE M SMALL,Celtic,65.363,White,Unknown
288.0,robert,burt,ROBERT N BURT,0.0,Caucasian,White,ROBERT N BURT,Celtic,72.637,White,White
289.0,larry,brady,LARRY D. BRADY,,CAUCASIAN,White,LARRY D. BRADY,Celtic,87.768,White,White
290.0,richard,swift,RICHARD J. SWIFT,,UNKNOWN,Unknown,RICHARD J. SWIFT,Celtic,91.95,White,White
291.0,james,broadhead,JAMES L BROADHEAD,0.0,Caucasian,White,JAMES L BROADHEAD,Celtic,93.303,White,White
292.0,dale,jones,DALE P JONES,0.0,U,Unknown,DALE P JONES,Celtic,78.413,White,White
293.0,richard,smith,RICHARD A SMITH,0.0,C,White,RICHARD A SMITH,Celtic,61.082,White,Unknown
294.0,robert,smith,ROBERT A SMITH,0.0,C,White,ROBERT A SMITH,Celtic,56.304,White,Unknown
296.0,alan,hassenfeld,ALAN HASSENFELD,,CAUCASIAN,White,ALAN HASSENFELD,Celtic,61.199,White,Unknown
297.0,alfred,verrecchia,ALFRED VERRECCHIA,,CAUCASIAN,White,ALFRED VERRECCHIA,European,78.116,White,White
