names,predictions,confidences
ROBERT D. KREBS,dutch,32.945
JAMES L PAYNE,british,95.351
MARC J SHAPIRO,zimbabwean,85.128
WARREN E. BUFFETT,british,75.484
CHARLES T MUNGER,zimbabwean,33.683
LOUIS A SIMPSON,british,47.935
BOH A DICKEY,else,66.884
JUDITH M. RUNSTAD,else,59.645
JOHN E BRYSON,british,64.291
BERNARD CAMMARATA,french,82.792
WILLIAM R TIMKEN JR,else,72.882
WARD J TIMKEN,dutch,40.239
JOHN M TIMKEN JR,else,76.872
T KEVIN DUNNIGAN,else,90.602
CLYDE R MOORE,german,20.956
LEWIS B CAMPBELL,british,65.22
JAMES F HARDYMON,british,83.655
ERLE NYE,zimbabwean,72.61
ALLEN J KROWE,danish,32.349
WILLIAM P. RUTLEDGE,british,77.378
DONALD B RICE,british,45.184
THOMAS J. PERKINS,british,49.67
CHARLES W MUELLER,else,31.442
WILLIAM H. JOYCE,british,75.716
W CRAIG MCCLELLAND,else,44.88
JAMES M REED,british,54.668
RICHARD D. MCCORMICK,british,71.656
JOSHUA GREEN III,british,32.943
MICHAEL W WRIGHT,british,26.176
EDWIN C GAGE,dutch,53.689
L PHILLIP HUMANN,german,44.156
DARRYL F ALLEN,british,82.378
JOHN W MADIGAN,british,54.774
JAMES DIMON,british,30.024
SANFORD I WEILL,else,50.307
KENNETH J BIALKIN,british,86.268
MACKEY J MCDONALD,else,68.025
M RUST SHARP,british,37.967
WILLIAM U PARFET,french,32.887
JAMES F ORR III,british,60.863
GEORGE DAVID,romanian,37.647
ROBERT M HERNANDEZ,spanish,37.42
VINCENT A GIERER JR.,else,57.414
KEITH E. BAILEY,british,90.26
BRUCE S. CHELBERG,swedish,63.472
WILLIAM D MAROHN,danish,20.299
DAVID R. WHITWAM,zimbabwean,47.194
DONALD F. FLYNN,british,54.691
JOHN W CREIGHTON JR,else,55.871
JOHN A. LUKE JR.,british,66.344
PAUL HAZEN,british,59.695
DAVID D GLASS,british,44.284
JACK C SHEWMAKER,dutch,41.373
ROBERT J. HURST,dutch,28.098
DALE F FREY,british,75.671
ELBERT O HAND,german,62.807
H JOHN RILEY JR,else,88.125
JON EM JACOBY,spanish,27.805
DAVID R BANKS,british,76.817
YOTARO KOBAYASHI,japanese,99.994
WILLIAM WRIGLEY JR,else,41.49
RICHARD K SMUCKER,british,70.256
RALPH J. ROBERTS,german,32.571
JULIAN A BRODSKY,british,46.054
BRIAN L. ROBERTS,british,46.478
SHELDON M. BONOVITZ,zimbabwean,21.065
R WALTRIP,french,30.925
L WILLIAM HEILIGBRODT,british,46.432
W WALTRIP,dutch,17.946
JAMES M. RINGLER,british,66.108
WARREN L. BATTS,british,46.906
WILLIAM CLAY FORD,british,82.898
EDSEL B. FORD II,else,96.117
TERRENCE MURRAY,british,58.149
"IRVING W. BAILEY, II",else,28.466
HAROLD A WAGNER,german,79.695
ROBERT E ALLEN,polish,16.737
RICHARD L KEYSER,british,65.362
DAVID W GRAINGER,british,48.762
JERE D FLUNO,else,46.514
LOUIS J GALEN,british,57.973
BERNARD A OSHER,british,51.971
MARION O SANDLER,german,27.998
HERBERT M SANDLER,german,61.31
ALFRED M ZEIEN,german,39.61
JOHN F SMITH JR,british,49.196
SANDRA O MOOSE,german,38.172
JAMES L JOHNSON,british,41.308
KENT B FOSTER,danish,52.094
CHARLES R LEE,british,42.282
DAVID W. BIEGLER,german,24.078
ORIN R. SMITH,danish,22.199
ALBERT E SUTER,british,23.91
ALLAN L. SCHUMAN,danish,72.489
MICHAEL E SHANNON,british,43.427
GEORGE MC FISHER,else,49.376
LEE R RAYMOND,british,70.047
DANA G. MEAD,else,62.465
ARTHUR TEMPLE III,else,81.578
CLIFFORD J. GRUM,danish,38.68
NORMAN E ALEXANDER,british,50.435
JOHN QUICKE,british,80.887
FRED R SULLIVAN,else,62.825
JOHN B YASINSKY,british,61.284
J CARTER BACOT,british,36.129
ALAN R GRIFFITH,british,79.459
THOMAS A RENYI,hungarian,48.871
CHARLES R SCHWAB,british,31.138
FRANK C. HERRINGER,dutch,39.357
JOHN F BERGSTROM,swedish,93.241
CLAUDIO X GONZALEZ,spanish,82.292
WAYNE R. SANDERS,british,74.274
BYRON O POND,british,27.201
V HUNT,british,27.33
DONALD F. MCHENRY,british,54.167
HERBERT ALLEN,german,55.454
HELGA HAUB,german,92.532
FRED CORRADO,else,64.342
CHRISTIAN WE HAUB,german,62.664
DONALD V FITES,else,67.148
ROBERT L CRANDALL,british,81.919
PERCY N BARNEVIK,else,78.77
H RODNEY SHARP III,else,88.91
JOHN A KROL,danish,40.212
JACK P. REID,british,75.708
G ROBERT TOD,else,60.043
DAVID B SMITH JR.,british,52.802
SAN W ORR JR,else,64.154
ROBERT A STEFANKO,polish,75.199
TERRY L. HAINES,british,59.394
JOHN H SHUEY,british,59.734
EDWIN H WINGATE,zimbabwean,49.673
KENDRICK B. MELROSE,british,29.244
HOWARD S MODLIN,british,46.713
SAL GIORDANO JR,else,52.831
LOUIS V GERSTNER JR,danish,58.565
RAY IRANI,dutch,27.159
BRUCE KARATZ,french,42.579
L DANIEL JORNDT,swedish,52.208
CHARLES R. WALGREEN III,british,81.07
BERNARD M GORDON,british,46.815
JOHN A TARELLO,else,67.597
M. ROSS BROWN,else,77.132
GEORGE R. MAHONEY JR.,else,62.205
MARK R BERNSTEIN,else,35.998
LAWRENCE J MURPHY,british,48.502
GARY W WOLF,british,58.702
ROGER A YOUNG,british,87.288
LELAND E. TOLLETT,british,56.283
DON TYSON,british,46.188
BARBARA A. TYSON,british,79.045
JOHN TYSON,british,34.604
ROBERT G STONE JR,dutch,39.168
ROBERT J KAMERSCHEN,german,41.477
HOWARD H NEWMAN,british,78.239
JOHN L VOGELSTEIN,danish,63.27
JOHN D. BAKER II,else,83.971
EDWARD L BAKER,british,50.469
THOMPSON S BAKER II,nigerian,59.048
FRANCIS X KNOTT,british,74.909
ALVIN R CARPENTER,else,28.145
LUKE E FICHTHORN III,british,68.621
ROBERT E WERTHEIMER,german,32.858
LISA J MCLAUGHLIN,danish,39.652
RICHARD P WOLLENBERG,german,31.045
ROBERT B ARKELL,british,82.654
DAVID L BOWDEN,british,70.073
DAVID A WOLLENBERG,danish,30.362
GEORGE W HENDERSON III,else,41.062
WILLIAM M BELL,british,65.335
DAVID L SWIFT,british,84.233
KENNETH P. MANNING,british,68.065
R STUART DICKSON,british,26.735
SAMUEL W. BODMAN III,else,59.73
KENNETT F BURNES,danish,67.682
J DAVIS JR.,else,86.71
W MICHAEL WARREN JR,else,56.769
GUY C PINKERTON,british,89.248
W ALDEN HARRIS,else,24.459
STEPHEN P MOSLING,british,67.221
J. PETER MOSLING JR.,else,83.564
MICHAEL W. GREBE,german,23.729
MICHAEL J CARROLL,british,84.302
MERWIN J RAY,else,36.811
BRADFORD T RAY,british,76.018
WILLIAM E HELLMANN,danish,37.261
STANLEY A RABIN,british,56.142
JOHN J VOSICKY,else,43.912
ROBERT GUNST,british,29.976
MICHAEL M. MCSHANE,british,48.592
J W STEWART,british,28.156
ROBERT C JAUDES,polish,28.393
GARY W. ROLLINS,british,77.612
RICHARD A. GALANTI,hungarian,95.167
HAMILTON E. JAMES,british,50.996
CHARLES B JOHNSON,british,33.079
RUPERT H. JOHNSON JR.,else,95.54
HARMON E BURNS,british,66.292
CHARLES ENDLER JOHNSON,british,55.586
PETER M. SACERDOTE,german,51.834
MARTIN L SOLOMON,else,43.001
ROBERT H SPILMAN,british,22.67
DALE L. MEDFORD,british,66.921
RICHARD H GRANT III,british,45.676
J. JOE ADORJAN,french,45.02
C SCOTT KULICKE,british,73.464
WILLIAM P VITITOE,else,39.893
JERRY W. AMOS,swedish,20.668
WILLIAM J. CADOGAN,else,40.92
JOHN R. HORNE,british,79.377
ROBERT C LANNERT,german,13.913
CHARLES J WYLY JR,else,28.721
SAM WYLY,british,62.562
WILLIAM P MADAR,british,24.1
WILLIAM D GINN,british,76.714
VILMA S. MARTINEZ,else,81.251
JAMES C MORGAN,british,58.29
DAN MAYDAN,romanian,47.907
ALFRED J STEIN,german,39.055
PAUL J POWERS,british,75.831
BRIAN J KNEZ,else,49.53
ANTHONY G PETRELLO,else,58.563
EUGENE M. ISENBERG,nigerian,64.222
JERALD G FISHMAN,british,55.157
RAY STATA,romanian,29.132
JOHN L DOYLE,british,44.795
EDWARD H MEYER,else,17.548
MICHAEL P SULLIVAN,else,34.426
JOSEPH F. ALIBRANDI,dutch,43.308
RICHARD M ROMPALA,hungarian,27.809
JOSEPH J JACOBS,dutch,45.057
NOEL G WATSON,british,83.696
LINDA K JACOBS,british,73.986
ROBERT G DAVEY,british,69.778
JORGE E ESTRADA,spanish,88.284
ROBERT J LAWLESS,british,81.877
KAREN D WEATHERHOLTZ,danish,81.077
JAMES H. DEGRAFFENREIDT JR.,else,80.354
KAREN H WILLIAMS,british,92.607
GEORGE A SCHAEFER JR,german,34.173
RONALD G REHERMAN,dutch,84.095
LAWRENCE E GLOYD,else,47.237
PAUL J GANCI,british,33.453
EDWARD R. MULLER,british,32.517
ROBERT I TOLL,british,31.377
BRUCE E. TOLL,else,48.988
ZVI BARZILAY,turkish,86.638
RICHARD J BRAEMER,british,49.456
ROBERT S. BLANK,dutch,70.645
ROBERT B CATELL,british,43.578
EDWARD D MILLER,british,53.514
KENNETH I. CHENAULT,french,27.447
STEVEN R APPLETON,british,89.379
PHILIP C. ACKERMAN,british,40.398
JOEL W JOHNSON,else,57.466
GARY J RAY,british,68.561
LOUIS T ROSSO,french,50.387
JOHN P WAREHAM,british,72.748
BETTY WOODS,else,41.397
GERALD LIPKIN,british,31.381
NICHOLAS J. ST. GEORGE,british,77.027
LON R GREENBERG,danish,65.712
KENNETH JENSEN,danish,98.392
LESLIE MUMA,zimbabwean,88.183
JAMES S. RIEPE,german,41.901
GEORGE A. ROCHE,romanian,44.441
JAMES S MARLEN,british,75.41
JOHN W GALIARDO,spanish,46.809
ROBERT J O'TOOLE,british,41.402
ALLEN M HILL,british,50.924
ROBERT B MORGAN,british,62.315
RICHARD K DAVIDSON,british,44.177
JUDITH RICHARDS HOPE,british,30.084
THOMAS R SCHIFF,german,79.612
LARRY R. WEBB,british,87.426
RICHARD KORPAN,hungarian,90.234
CHARLES M. GESCHKE,german,79.176
JOHN E WARNOCK,british,86.274
WILLIAM P WEBER,british,50.223
ROBERT D STOREY,british,44.245
IRVING BOLOTIN,indian,27.743
STUART A MILLER,british,84.671
STEVEN J SAIONTZ,british,21.93
"JOHN J. SCHIFF, JR.",danish,97.618
ROBERT C SCHIFF,german,43.174
D PAUL JONES JR,else,84.019
JOHN S STEIN,danish,32.512
BRUCE M. SMITH,british,31.571
THOMAS O BARNES,german,24.677
THEODORE E. MARTIN,british,25.825
GEORGE T CARPENTER,british,35.724
W. KEITH KENNEDY JR.,else,77.532
WALTER J. ZABLE,german,42.227
WALTER C. ZABLE,german,24.544
R. RANDALL ROLLINS,else,20.696
HENRY B SCHACHT,danish,66.36
STEVEN C. WALSKE,german,60.57
C. RICHARD HARRISON,british,51.215
THEODORE M. SOLSO,hungarian,19.303
ANDRE B LACY,else,46.975
L BEN LYTLE,else,31.015
DENNIS D DAMMERMAN,dutch,90.96
ROGER S PENSKE,german,83.107
CHARLES W BATTEY,british,59.547
CHARLES K. VAUGHAN,british,54.708
RICHARD WARE II,swedish,20.84
MARILOU M VON FERSTEL,french,34.878
W AUGUST HILLENBRAND,german,29.365
RAY J. HILLENBRAND,dutch,65.301
STUART L. SCOTT,british,74.013
ROBERT W MAHONEY,zimbabwean,25.552
JOE T FORD,british,53.59
JOEL B ALVORD,british,62.763
JOHN I. KIECKHEFER,british,28.147
DAVID M LAWRENCE,british,83.563
STEPHEN P MUNN,british,68.677
WILLIAM O ALBERTINI,italian,68.775
LAWRENCE T. BABBIO JR.,else,85.794
JAMES G. CULLEN,british,63.691
RONALD L OLSON,else,47.252
WILLIAM R COOK,british,92.469
M. DOUGLAS IVESTER,british,22.787
WILLIAM M JORDAN,british,53.649
VINCENT A. CALARCO,spanish,42.873
GARY L NEALE,british,54.234
R DREIER,german,51.607
ROGER W KOBER,british,52.505
DAVID A. DABERKO,hungarian,40.724
WILLIAM  R. ROBERTSON,british,45.096
DAVID H HOAG,else,36.903
CLIFFORD L GREENWALT,british,69.188
WALTER DODS,german,57.958
ZUHEIR SOFIA,else,69.378
TRANUM FITZPATRICK,else,94.932
DAVID B. O'MALEY,british,30.539
CHARLES S MECHEM JR,dutch,44.057
JERRY A GRUNDHOFER,british,60.244
PHILIP A LLOYD II,else,74.439
STEPHEN E MYERS,british,86.772
JOHN T LAMACCHIA,else,40.64
JOHN E JACOB,british,50.122
ROBERT H WEST,danish,24.297
DANIEL P AMOS,romanian,25.042
ELIZABETH C OGIE,british,44.843
H PAGE,else,16.871
RICHARD E ANTHONY,british,19.521
JOE E. BEVERLY,else,47.847
JAMES H BLANCHARD,else,52.533
WILLIAM B TURNER,else,52.788
JAMES D. YANCEY,british,82.425
W BRIAN MATSUYAMA,zimbabwean,91.662
CARL BURNHAM JR,swedish,34.249
G ALEX BERNHARDT SR,danish,33.584
EDWARD E CRUTCHFIELD,british,64.798
DAVID H. KOMANSKY,hungarian,45.217
GORDON D HARNETT,british,76.212
JOSEPH J ROSS,british,54.343
MASON H LAMPTON,british,64.694
BARRY J FITZPATRICK,else,76.727
MICKY ARISON,nigerian,21.408
HOWARD S FRANK,british,46.892
SHERWOOD M WEISER,else,48.111
UZI ZUCKER,german,83.179
KERRY K KILLINGER,british,74.537
WILLIAM A. OSBORN,british,56.016
ROBERT A HELMAN,british,23.315
WINSLOW H BUXTON,else,87.896
LUDVIK F KOCI,hungarian,36.746
STANLEY N PONTIUS,dutch,34.187
ROBERT H DICKINSON,british,87.085
A KIRK LANTERMAN,dutch,59.653
ROBERT G. WILMERS,british,68.417
WARREN B RUDMAN,british,40.561
HERBERT W BOYER,german,36.387
RICHARD J. DAHL,danish,86.008
FREDERICK R MEYER,british,33.312
PATRICK G RYAN,else,88.668
THOMAS J USHER,british,18.661
WILLIAM F ZUENDT,british,24.315
CARL E REICHARDT,swedish,78.472
ROBERT A PAUL,german,39.277
WILLIAM G. BARES,else,60.576
DAVID A SPINA,italian,39.124
MARSHALL N. CARTER,british,49.34
ROBERT E WEISSMAN,dutch,59.881
TRUMAN S CASNER,british,43.891
DENNIS J KUESTER,danish,40.675
"PETER M. PLATTEN, III",else,45.704
WALLACE D MALONE JR,british,57.064
SUMMERFIELD K JOHNSTON III,else,63.294
STACEY J. MOBLEY,british,79.414
GEORGE H BENTER JR,else,42.09
RICHARD L BLOCH,british,17.298
CHARLES S CROMPTON JR,british,72.521
BRAM GOLDSMITH,british,68.146
JOEL J. COHEN,dutch,67.034
ALEXANDER P LYNCH,else,31.071
PETER C. BROWNING,british,80.323
F LH COKER,else,49.205
JAMES E. ROGERS,british,86.852
